slimness,leaf size,shape descriptor,hex color of flower,Name
2.476190476,29.12,Ovate,#F2F0DF,Welan
2.282608696,32.2,Ovate,#F2F0DF,Welan
2.542857143,20.76666667,Ovate,#F2F0DF,Welan
2.195121951,24.6,Ovate,#F2F0DF,Welan
3.3,19.8,Lanceolate,#C4C73C,Bora
3.769230769,16.98666667,Lanceolate,#C4C73C,Bora
3.458333333,13.28,Oblanceolate,#FAF9F6,Kapok
3.269230769,14.73333333,Oblanceolate,#FAF9F6,Kapok
3,16.82,Oblanceolate,#FAF9F6,Kapok
2.725,29.06666667,Ovate,#F2F0DF,Welan
2.820512821,28.6,Ovate,#F2F0DF,Welan
2.894736842,27.86666667,Ovate,#F2F0DF,Welan
2.194444444,18.96,Ovate,#F2F0DF,Welan
4.227272727,13.64,Oblanceolate,#FAF9F6,Kapok
4.6,12.26666667,Oblanceolate,#FAF9F6,Kapok
4.24,17.66666667,Oblanceolate,#FAF9F6,Kapok
4.375,16.8,Oblanceolate,#FAF9F6,Kapok
4.52173913,15.94666667,Oblanceolate,#FAF9F6,Kapok
2.454545455,17.82,Ovate,#F2F0DF,Welan
2.857142857,23.33333333,Ovate,#F2F0DF,Welan
3.382352941,26.06666667,Lanceolate,#C4C73C,Bora
3.352941176,25.84,Lanceolate,#C4C73C,Bora
3.424242424,24.86,Lanceolate,#C4C73C,Bora
3.222222222,27.84,Lanceolate,#C4C73C,Bora
3.352941176,25.84,Lanceolate,#C4C73C,Bora
3.411764706,26.29333333,Lanceolate,#C4C73C,Bora
3.5625,24.32,Lanceolate,#C4C73C,Bora
3.53125,24.10666667,Lanceolate,#C4C73C,Bora
3.7,22.2,Lanceolate,#C4C73C,Bora
3.846153846,17.33333333,Lanceolate,#C4C73C,Bora
3.740740741,18.18,Lanceolate,#C4C73C,Bora
3.225806452,20.66666667,Lanceolate,#C4C73C,Bora
3,23.12,Lanceolate,#C4C73C,Bora
3.966666667,23.8,Lanceolate,#C4C73C,Bora
3.6875,25.17333333,Lanceolate,#C4C73C,Bora
3.866666667,23.2,Lanceolate,#C4C73C,Bora
3.6,15,Lanceolate,#C4C73C,Bora
4.083333333,15.68,Lanceolate,#C4C73C,Bora
2.5,15,Ovate,#F2F0DF,Welan
2.3125,15.78666667,Ovate,#F2F0DF,Welan
2.55,27.2,Ovate,#F2F0DF,Welan
2.222222222,30,Ovate,#F2F0DF,Welan
2.682926829,30.06666667,Ovate,#F2F0DF,Welan
3.833333333,23,Oblanceolate,#FAF9F6,Kapok
3.931034483,22.04,Oblanceolate,#FAF9F6,Kapok
4.32,18,Oblanceolate,#FAF9F6,Kapok
4.416666667,16.96,Oblanceolate,#FAF9F6,Kapok
3.925925926,19.08,Oblanceolate,#FAF9F6,Kapok
4.2,17.5,Oblanceolate,#FAF9F6,Kapok
3.619047619,10.64,Oblanceolate,#FAF9F6,Kapok
3.347826087,11.80666667,Oblanceolate,#FAF9F6,Kapok
4.35,11.6,Oblanceolate,#FAF9F6,Kapok
4.095238095,12.04,Oblanceolate,#FAF9F6,Kapok
3.678571429,19.22666667,Oblanceolate,#FAF9F6,Kapok
4.434782609,15.64,Oblanceolate,#FAF9F6,Kapok
3.696969697,26.84,Oblanceolate,#FAF9F6,Kapok
3.903225806,25.00666667,Oblanceolate,#FAF9F6,Kapok
3.970588235,30.6,Oblanceolate,#FAF9F6,Kapok
4.03030303,29.26,Oblanceolate,#FAF9F6,Kapok
3.794117647,29.24,Oblanceolate,#FAF9F6,Kapok
3.878787879,28.16,Oblanceolate,#FAF9F6,Kapok
3.666666667,22,Oblanceolate,#FAF9F6,Kapok
3.75862069,21.07333333,Oblanceolate,#FAF9F6,Kapok
5.25,14,Oblanceolate,#FAF9F6,Kapok
8.666666667,8.32,Oblanceolate,#FAF9F6,Kapok
2.5,15,Ovate,#F2F0DF,Welan
2.155555556,29.1,Ovate,#F2F0DF,Welan
2.022222222,27.3,Ovate,#F2F0DF,Welan
2.615384615,26.52,Ovate,#F2F0DF,Welan
2.333333333,20.16,Ovate,#F2F0DF,Welan
